"Order processed by Klarna.","Order processed by Klarna."
"Order not found","Order not found"
"Unable to cancel payment for this order.","Unable to cancel payment for this order."
"Order cancellation failed, please try again.","Order cancellation failed, please try again."
"Unable to capture payment for this order.","Unable to capture payment for this order."
"Payment capture not allowed.","Payment capture not allowed."
"Payment capture failed, please try again.","Payment capture failed, please try again."
"Unable to refund payment for this order.","Unable to refund payment for this order."
"Payment refund failed, please try again.","Payment refund failed, please try again."
"%1 class doesn't implement \Klarna\Ordermanagement\Api\ApiInterface","%1 class doesn't implement \Klarna\Ordermanagement\Api\ApiInterface"
"%1 Klarna %2 api error messages: %3","%1 Klarna %2 api error messages: %3"
